Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Kyrie Irving (41495412),Kyrie Irving,41495412,PG/G/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,DAL,0
PF,Chaney Johnson (41495422),Chaney Johnson,41495422,PF/F/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,BKN,0
SF,Haywood Highsmith (41495425),Haywood Highsmith,41495425,SF/F/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,BKN,0
C,Tony Bradley (41495308),Tony Bradley,41495308,C/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,IND,8.40
PF/C,Josh Minott (41495312),Josh Minott,41495312,PF/C/F/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,BOS,15.66
SG,Taelon Peter (41495331),Taelon Peter,41495331,SG/G/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,IND,4.18
SG,Ethan Thompson (41495334),Ethan Thompson,41495334,SG/G/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,IND,10.28
C,Xavier Tillman (41495345),Xavier Tillman,41495345,C/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,BOS,7.64
PG/SG,Kam Jones (41495350),Kam Jones,41495350,PG/SG/G/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,IND,4.11
PF/C,Chris Boucher (41495354),Chris Boucher,41495354,PF/C/F/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,BOS,8.62
C,Amari Williams (41495373),Amari Williams,41495373,C/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,BOS,3.21
SF,Ron Harper Jr. (41495389),Ron Harper Jr.,41495389,SF/F/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,BOS,6.19
PF/C,Obi Toppin (41495392),Obi Toppin,41495392,PF/C/F/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,IND,26.33
PG,Tyrese Haliburton (41495406),Tyrese Haliburton,41495406,PG/G/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,IND,0
PG/SG,Max Shulga (41495415),Max Shulga,41495415,PG/SG/G/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,BOS,0
PF,Jayson Tatum (41495419),Jayson Tatum,41495419,PF/F/UTIL,3000,BOS@IND 01/12/2026 07:30PM ET,BOS,0
